product_id,category,risk_class,primary_risk_driver,scenario,contingency_severity,action_priority,executive_action_score,action_type,action_owner,action_horizon,executive_action,scenario_response,additional_safety_stock_required,lost_sales_exposure,cost_change_vs_optimized,executive_confidence,executive_rationale
P01995,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.5886,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,405,32.0,856.97,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹19,058.02, with lost-sales change of 2,003 units."
P01432,Personal Care,Low,Demand Volatility,Combined Stress,High,P2 - High,0.5881,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 297 units.,Prepare demand response,297,530.0,3511.56,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 530 units. Recommended contingency buffer is 297 units.
P01235,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.5732,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,790,0.0,1234.39,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹22,579.59, with lost-sales change of 2,326 units."
P01921,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.5728,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,803,0.0,1189.85,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹22,948.44, with lost-sales change of 2,393 units."
P00070,Accessories,Low,Supplier,Combined Stress,High,P2 - High,0.5563,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 505 units.,Prepare alternate supplier,505,1393.0,6511.3,High,"P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 1,393 units. Recommended contingency buffer is 505 units."
P00764,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.555,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,678,32.0,1120.4,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹19,376.77, with lost-sales change of 1,997 units."
P01153,Office Supplies,High,Demand Volatility,Combined Stress,High,P2 - High,0.5502,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 985 units.,Prepare demand response,985,528.0,3051.21,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 528 units. Recommended contingency buffer is 985 units.
P01760,Personal Care,Low,Demand Volatility,Combined Stress,High,P2 - High,0.55,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 253 units.,Prepare demand response,253,599.0,3110.18,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 599 units. Recommended contingency buffer is 253 units.
P00277,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.5474,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,889,0.0,1397.74,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹19,526.57, with lost-sales change of 2,096 units."
P01755,Accessories,Low,Demand Volatility,Combined Stress,High,P2 - High,0.5446,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 369 units.,Prepare demand response,369,766.0,4142.64,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 766 units. Recommended contingency buffer is 369 units.
P01533,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.5306,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,038 units.",Prepare demand response,1038,0.0,1383.15,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 0 units. Recommended contingency buffer is 1,038 units."
P01884,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.5276,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,351 units.",Prepare demand response,1351,42.0,1866.06,High,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 42 units. Recommended contingency buffer is 1,351 units."
P00973,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.5231,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 698 units.,Prepare demand response,698,0.0,935.16,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 0 units. Recommended contingency buffer is 698 units.
P00750,Personal Care,Low,Supplier,Combined Stress,High,P2 - High,0.5226,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 348 units.,Prepare alternate supplier,348,965.0,5742.42,High,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 965 units. Recommended contingency buffer is 348 units.
P00648,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.5169,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,399 units.",Prepare demand response,1399,54.0,1660.45,High,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 54 units. Recommended contingency buffer is 1,399 units."
P00659,Personal Care,Low,Supplier,Combined Stress,High,P2 - High,0.5143,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 399 units.,Prepare alternate supplier,399,667.0,4525.47,High,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 667 units. Recommended contingency buffer is 399 units.
P00266,Office Supplies,Critical,Demand Volatility,Combined Stress,Moderate,P2 - High,0.5141,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,330,20.0,523.83,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹7,295.67, with lost-sales change of 774 units."
P01038,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.5139,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 625 units.,Prepare demand response,625,0.0,909.74,Medium,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 0 units. Recommended contingency buffer is 625 units.
P01618,Office Supplies,High,Demand Volatility,Combined Stress,High,P2 - High,0.5091,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 389 units.,Prepare demand response,389,35.0,802.82,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 35 units. Recommended contingency buffer is 389 units.
P00039,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.5091,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,991,28.0,1892.84,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹13,107.11, with lost-sales change of 1,626 units."
P01447,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.5082,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,451,130.0,1353.11,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹10,138.34, with lost-sales change of 1,177 units."
P01905,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.5046,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,495 units.",Prepare demand response,1495,43.0,1735.43,High,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 43 units. Recommended contingency buffer is 1,495 units."
P00595,Accessories,Low,Demand Volatility,Combined Stress,High,P2 - High,0.5044,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 441 units.,Prepare demand response,441,1202.0,6033.89,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,202 units. Recommended contingency buffer is 441 units."
P01716,Accessories,High,Supplier,Combined Stress,Moderate,P2 - High,0.5042,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,286,132.0,1290.66,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹12,177.19, with lost-sales change of 1,263 units."
P01387,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.5025,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,879,0.0,1011.38,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹15,715.79, with lost-sales change of 1,453 units."
P01229,Accessories,Low,Supplier,Combined Stress,High,P2 - High,0.5025,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 354 units.,Prepare alternate supplier,354,595.0,3997.09,High,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 595 units. Recommended contingency buffer is 354 units.
P01718,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.4967,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,055 units.",Prepare demand response,1055,9.0,1122.38,High,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 9 units. Recommended contingency buffer is 1,055 units."
P01979,Accessories,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4948,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 375 units.,Prepare demand response,375,857.0,4987.73,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 857 units. Recommended contingency buffer is 375 units.
P01007,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.494,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,242,189.0,1136.24,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹5,842.34, with lost-sales change of 599 units."
P01479,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4917,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,295,9.0,625.75,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹7,313.74, with lost-sales change of 823 units."
P01672,Accessories,Medium,Supplier,Combined Stress,High,P2 - High,0.4917,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 615 units.,Prepare alternate supplier,615,578.0,3835.06,Medium,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 578 units. Recommended contingency buffer is 615 units.
P00775,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.491,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,549,80.0,1165.22,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹10,209.49, with lost-sales change of 1,068 units."
P01338,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.4896,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 458 units.,Prepare demand response,458,0.0,638.97,Medium,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 0 units. Recommended contingency buffer is 458 units.
P00322,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4895,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,1083,172.0,1933.84,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹11,378.76, with lost-sales change of 1,036 units."
P00470,Accessories,Low,Demand Volatility,Combined Stress,High,P2 - High,0.489,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 495 units.,Prepare demand response,495,1293.0,6618.72,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,293 units. Recommended contingency buffer is 495 units."
P01371,Accessories,Medium,Supplier,Combined Stress,High,P2 - High,0.4872,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 544 units.,Prepare alternate supplier,544,238.0,3079.8,High,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 238 units. Recommended contingency buffer is 544 units.
P00010,Office Supplies,High,Demand Volatility,Combined Stress,High,P2 - High,0.4836,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 586 units.,Prepare demand response,586,30.0,879.4,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 30 units. Recommended contingency buffer is 586 units.
P00389,Office Supplies,Critical,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4832,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,847,0.0,1305.65,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹4,944.13, with lost-sales change of 759 units."
P00759,Accessories,Low,Supplier,Combined Stress,High,P2 - High,0.4826,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 308 units.,Prepare alternate supplier,308,1028.0,4854.87,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 1,028 units. Recommended contingency buffer is 308 units."
P01743,Office Supplies,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4817,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 605 units.,Prepare demand response,605,494.0,5067.28,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 494 units. Recommended contingency buffer is 605 units.
P01916,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.4798,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,362 units.",Prepare demand response,1362,0.0,1552.9,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 0 units. Recommended contingency buffer is 1,362 units."
P01650,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4795,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,554,0.0,1008.91,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹9,701.75, with lost-sales change of 1,105 units."
P00215,Office Supplies,Critical,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4782,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,1041,0.0,1232.39,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹5,822.95, with lost-sales change of 667 units."
P00236,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4774,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,464,0.0,744.33,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹9,497.63, with lost-sales change of 979 units."
P00465,Accessories,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4774,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 408 units.,Prepare demand response,408,1192.0,6269.18,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,192 units. Recommended contingency buffer is 408 units."
P01631,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4758,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,576,0.0,1083.85,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹8,767.37, with lost-sales change of 1,047 units."
P01404,Office Supplies,High,Demand Volatility,Combined Stress,High,P2 - High,0.4756,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,103 units.",Prepare demand response,1103,227.0,2037.31,High,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 227 units. Recommended contingency buffer is 1,103 units."
P00649,Office Supplies,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4746,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 607 units.,Prepare demand response,607,1249.0,7520.14,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,249 units. Recommended contingency buffer is 607 units."
P01954,Office Supplies,Critical,Demand Volatility,Combined Stress,Moderate,P2 - High,0.474,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,312,0.0,480.46,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹3,299.92, with lost-sales change of 379 units."
P01620,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.4734,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,010 units.",Prepare demand response,1010,0.0,985.68,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 0 units. Recommended contingency buffer is 1,010 units."
P01255,Office Supplies,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4734,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 684 units.,Prepare demand response,684,1185.0,9115.1,High,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,185 units. Recommended contingency buffer is 684 units."
P01767,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4728,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,607,0.0,965.09,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹8,877.97, with lost-sales change of 970 units."
P01860,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.4727,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,361 units.",Prepare demand response,1361,10.0,1486.87,High,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 10 units. Recommended contingency buffer is 1,361 units."
P01061,Accessories,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4702,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 357 units.,Prepare demand response,357,1114.0,5277.4,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,114 units. Recommended contingency buffer is 357 units."
P00482,Office Supplies,Low,Supplier,Combined Stress,High,P2 - High,0.4699,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 334 units.,Prepare alternate supplier,334,659.0,4147.13,High,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 659 units. Recommended contingency buffer is 334 units.
P00743,Office Supplies,Low,Supplier,Combined Stress,High,P2 - High,0.4697,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 613 units.,Prepare alternate supplier,613,433.0,6181.16,High,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 433 units. Recommended contingency buffer is 613 units.
P01207,Office Supplies,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4695,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 678 units.,Prepare demand response,678,1118.0,7547.36,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,118 units. Recommended contingency buffer is 678 units."
P00736,Accessories,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4692,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 405 units.,Prepare demand response,405,1094.0,5961.01,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,094 units. Recommended contingency buffer is 405 units."
P01181,Accessories,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4685,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 387 units.,Prepare demand response,387,780.0,4802.48,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 780 units. Recommended contingency buffer is 387 units.
P01344,Office Supplies,Critical,Demand Volatility,Combined Stress,Moderate,P2 - High,0.4684,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,203,0.0,330.16,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹2,710.68, with lost-sales change of 306 units."
P00852,Office Supplies,Low,Demand Volatility,Combined Stress,High,P2 - High,0.4684,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 584 units.,Prepare demand response,584,1183.0,7405.46,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,183 units. Recommended contingency buffer is 584 units."
